Date|Price|Market Cap
2020-12-31|0,9998|3903714407
2020-12-30|1|3680443611
2020-12-29|1|3698412275
2020-12-28|1|3627985594
2020-12-27|1|3582730028
2020-12-26|0,9997|3547869513
2020-12-25|1|3536352382
2020-12-24|1|3538335203
2020-12-23|0,9999|3425726108
2020-12-22|1|3356542655
2020-12-21|0,9999|3339236658
2020-12-20|0,9999|3356572079
2020-12-19|1|3372266935
2020-12-18|0,9999|3283955286
2020-12-17|0,9998|3275300776
2020-12-16|0,9999|3300931648
2020-12-15|1|3274894699
2020-12-14|1|3268970947
2020-12-13|0,9999|3241732106
2020-12-12|1|3215393827
2020-12-11|1|3136265939
2020-12-10|1|3081890247
2020-12-09|1|3083762658
2020-12-08|1|3057541920
2020-12-07|1|3054758318
2020-12-06|1|3073447381
2020-12-05|1|3037637284
2020-12-04|1|2963592090
2020-12-03|1|2965255278
2020-12-02|1|2958068729
2020-12-01|1|2975385311
2020-11-30|1|2963118009
2020-11-29|1|2964393940
2020-11-28|1|2967986029
2020-11-27|1|2903445285
2020-11-26|1|2893029205
2020-11-25|1|2871209649
2020-11-24|0,9998|2853387870
2020-11-23|0,9998|2863280574
2020-11-22|1|2874006400
2020-11-21|1|2838032230
2020-11-20|1|2801885852
2020-11-19|1|2787373041
2020-11-18|1|2791331389
2020-11-17|1|2778032395
2020-11-16|1|2824323545
2020-11-15|1|2813598347
2020-11-14|1|2805595743
2020-11-13|1|2801993179
2020-11-12|0,9992|2799731062
2020-11-11|1|2833067611
2020-11-10|1|2828730661
2020-11-09|0,9999|2841229587
2020-11-08|1|2874233151
2020-11-07|1|2885302511
2020-11-06|1|2854072855
2020-11-05|1|2871663193
2020-11-04|1|2883082203
2020-11-03|1|2915440816
2020-11-02|1|2930293205
2020-11-01|1|2928676111
2020-10-31|1|2925453141
2020-10-30|1|2879376697
2020-10-29|1|2882612408
2020-10-28|1|2840148631
2020-10-27|1|2809765699
2020-10-26|1|2779510838
2020-10-25|1|2808560800
2020-10-24|0,9999|2785109254
2020-10-23|1|2754821520
2020-10-22|1|2789214321
2020-10-21|1|2789112726
2020-10-20|1|2736393044
2020-10-19|1|2737305377
2020-10-18|1|2728528052
2020-10-17|1|2706462458
2020-10-16|1|2705184599
2020-10-15|1|2724050018
2020-10-14|1|2749519814
2020-10-13|1|2777548860
2020-10-12|1|2841909427
2020-10-11|1|2857374683
2020-10-10|1|2810756965
2020-10-09|1|2810914392
2020-10-08|1|2769847167
2020-10-07|1|2683950704
2020-10-06|1|2666260851
2020-10-05|1|2640898058
2020-10-04|1|2640169978
2020-10-03|1|2631826662
2020-10-02|1|2541975630
2020-10-01|1|2513034485
2020-09-30|1|2526168013
2020-09-29|1|2538586973
2020-09-28|1|2597507642
2020-09-27|1|2533182720
